상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
26424998,카페리빈,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168053100,논현2동,1168010800,논현동,1168010800202300001,1,대지,230,1.0,서울특별시 강남구 논현동 230-1,116804166566,서울특별시 강남구 언주로115길,15,,1168010800102300001008286,,서울특별시 강남구 언주로115길 15,135010,6108.0,,1,102,127.035432908888,37.5098720591127
26426190,카페리에또,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11530,구로구,1153051000,신도림동,1153010100,신도림동,1153010100206410000,1,대지,641,,서울특별시 구로구 신도림동 641,115304148400,서울특별시 구로구 신도림로19길,16,,1153010100106410000026430,현대아파트,서울특별시 구로구 신도림로19길 16,152773,8201.0,,1,109,126.884598025476,37.51157150853621
26062090,나무그늘,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11290,성북구,1129065000,정릉4동,1129013300,정릉동,1129013300202390000,1,대지,239,,서울특별시 성북구 정릉동 239,112904121379,서울특별시 성북구 솔샘로25길,20,,1129013300102390000054726,정릉풍림상가,서울특별시 성북구 솔샘로25길 20,136775,2702.0,,1,,127.008100676315,37.6169420263215
26161140,몽인도풍좌식카페,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11740,강동구,1174061000,천호2동,1174010900,천호동,1174061000204540051,1,대지,454,51.0,서울특별시 강동구 천호동 454-51,117404172367,서울특별시 강동구 천호대로157길,11,,1174010900104540052012145,,서울특별시 강동구 천호대로157길 11,134020,5329.0,,1,,127.12678834274999,37.5383983992687
25973027,더드림,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11290,성북구,1129060000,안암동,1129012500,안암동5가,1129012500200010002,1,대지,1,2.0,서울특별시 성북구 안암동5가 1-2,112903005035,서울특별시 성북구 안암로,145,,1129012500100010002039525,고려대학교안암캠퍼스(인문사회계),서울특별시 성북구 안암로 145,136701,2841.0,,1,,127.031701809695,37.5884849860916
26474528,플라페,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11470,양천구,1147060000,신월5동,1147010300,신월동,1147010300200830006,1,대지,83,6.0,서울특별시 양천구 신월동 83-6,114703000009,서울특별시 양천구 가로공원로,155,,1147010300100830006010352,,서울특별시 양천구 가로공원로 155,158090,7906.0,,,,126.833202439548,37.5368446101194
26210435,영락사회복지재단,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11140,중구,1114055000,명동,1114013100,저동1가,1114013100200060000,1,대지,6,,서울특별시 중구 저동1가 6,111403005006,서울특별시 중구 수표로,33,,1114013100100060000000001,영락교회50주년기념관,서울특별시 중구 수표로 33,100031,4552.0,,1,,126.989163992534,37.5631785339434
26102371,도피오커피,부산의료원점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,26,부산광역시,26470,연제구,2647062000,거제2동,2647010100,거제동,2647010100213300000,1,대지,1330,,부산광역시 연제구 거제동 1330,264703129045,부산광역시 연제구 월드컵대로,359,,2647010100113300000000003,부산의료원,부산광역시 연제구 월드컵대로 359,611706,47527.0,2,1,,129.060072967083,35.1874343704355
26440472,커피본,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11410,서대문구,1141056500,충현동,1141010100,충정로2가,1141010100200470000,1,대지,47,,서울특별시 서대문구 충정로2가 47,114103112004,서울특별시 서대문구 경기대로,79,,1141010100100470000029624,,서울특별시 서대문구 경기대로 79,120012,3746.0,,1,,126.96436041561199,37.565882929294204
26444215,커피향창고,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11410,서대문구,1141058500,신촌동,1141011600,창천동,1141011600204360000,1,대지,436,,서울특별시 서대문구 창천동 436,114104136302,서울특별시 서대문구 연희로4길,16,,1141011600104360000021646,,서울특별시 서대문구 연희로4길 16,120836,3784.0,,1,,126.92782830450199,37.5614390553102
