상호명,도로명주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,행정동명,경도,위도
성수탕구내이발소,"서울특별시 동작구 사당로25길 8, (사당동)",생활서비스,이/미용/건강,남성미용실,이용업,사당3동,126.97785553610301,37.4844557381918
점프셈교실,서울특별시 동작구 성대로29길 63,학문/교육,학원-예능취미체육,학원-주산암산부기속셈,그외 기타 분류안된 교육기관,상도4동,126.937481848004,37.5009221331023
유진헤어페이스,"서울특별시 동작구 등용로 120, (대방동)",생활서비스,이/미용/건강,여성미용실,두발미용업,대방동,126.932124039309,37.511830550047996
번개포토,"서울특별시 동작구 상도로 35, (대방동)",생활서비스,사진,사진관,인물사진 및 행사용비디오 촬영업,대방동,126.924421250107,37.4999929908495
KT,서울특별시 동작구 여의대방로 88,소매,사진/광학/정밀기기소매,핸드폰소매,통신기기 소매업,신대방2동,126.916528609316,37.4967671978086
청담어학원,서울특별시 동작구 상도로31길 19,학문/교육,학원-어학,학원-외국어/어학,외국어학원,상도2동,126.94452089480801,37.506229339369796
다누리행복사진관,"서울특별시 동작구 성대로2길 11, (상도동)",생활서비스,사진,사진관,인물사진 및 행사용비디오 촬영업,상도3동,126.93138903495701,37.4991191394398
아웃백스테이크하우스,"서울특별시 동작구 보라매로5가길 16, (신대방동, 보라매아카데미타워)",음식,양식,패밀리레스토랑,서양식 음식점업,신대방2동,126.924081971972,37.49132182012679
오사카부루스,"서울특별시 동작구 국사봉1길 31, (상도동)",음식,유흥주점,호프/맥주,기타 주점업,상도3동,126.930179476089,37.4990811598368
헤어뉴스J.H,"서울특별시 동작구 흑석한강로 2, (흑석동)",생활서비스,이/미용/건강,여성미용실,두발미용업,흑석동,126.96650349196501,37.506585911179705
날개잃은통닭,"서울특별시 동작구 사당로16길 7, (사당동)",음식,유흥주점,호프/맥주,기타 주점업,사당4동,126.973840051935,37.482907159639296
BHC치킨,"서울특별시 동작구 사당로 28, (상도동)",음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,상도1동,126.957436230114,37.494927740121
뽕짜,"서울특별시 동작구 만양로18길 22, (노량진동)",음식,중식,중국음식/중국집,중식 음식점업,노량진1동,126.945387476709,37.512967904330296
모모분식,"서울특별시 동작구 상도로30길 8, (상도동)",음식,분식,떡볶이전문,분식 및 김밥 전문점,상도2동,126.941340547533,37.5047772225941
시스템,서울특별시 동작구 노량진로 254,소매,가정/주방/인테리어,조명기구/전기용품,전기용품 및 조명장치 소매업,노량진1동,126.954805612583,37.512465941012394
왕자수산물,서울특별시 동작구 노들로 674,소매,음/식료품소매,수산물소매,수산물 소매업,노량진2동,126.93796365963699,37.5148116028673
호뎅바,"서울특별시 동작구 동작대로7길 33, (사당동)",음식,유흥주점,호프/맥주,기타 주점업,사당1동,126.980189815031,37.4790966168318
까,"서울특별시 동작구 동작대로31길 5, (사당동)",음식,양식,정통양식/경양식,서양식 음식점업,사당2동,126.981656169358,37.48851626838171
GS25,"서울특별시 동작구 사당로23길 181, (사당동)",소매,종합소매점,편의점,체인화 편의점,사당3동,126.970710153922,37.4901694506227
이쁜머리,"서울특별시 동작구 동작대로9길 26, (사당동)",생활서비스,이/미용/건강,여성미용실,두발미용업,사당1동,126.98014528654899,37.4807091200058
바로곁에,"서울특별시 동작구 현충로 96-1, (흑석동)",음식,양식,정통양식/경양식,서양식 음식점업,흑석동,126.964336582062,37.5078824637676
성대세탁소,"서울특별시 동작구 성대로 69, (상도동)",생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,상도4동,126.934650787199,37.4979952592058
달빛상회,"서울특별시 동작구 동작대로3길 20, (사당동)",음식,한식,기타고기요리,한식 음식점업,사당1동,126.98033453499201,37.4784310854308
이화조이풀피아노,서울특별시 동작구 등용로 87,학문/교육,학원-음악미술무용,피아노/바이올린/기타,예술 학원,대방동,126.93197028578399,37.509126020862496
가춘,"서울특별시 동작구 상도로 357, (상도동, 강남상가)",음식,제과제빵떡케익,제과점,제과점업,상도1동,126.95349547456999,37.49692926908371
서울수산,"서울특별시 동작구 노들로 674, (노량진동)",음식,일식/수산물,음식점-일식,일식 음식점업,노량진2동,126.93796365963699,37.5148116028673
사계진미,"서울특별시 동작구 동작대로25길 9-8, (사당동)",음식,한식,한식/백반/한정식,한식 음식점업,사당2동,126.981373597785,37.486008903666296
여의도자동차공업사,서울특별시 동작구 대방동길 7,생활서비스,자동차/이륜차,자동차정비/카센타,,대방동,126.927560108988,37.50035491704789
빈,"서울특별시 동작구 여의대방로24길 97, (대방동)",음식,유흥주점,호프/맥주,기타 주점업,대방동,126.92541937793001,37.4990019122354
헌터PC,"서울특별시 동작구 동작대로 43, (사당동)",관광/여가/오락,PC/오락/당구/볼링등,인터넷PC방,컴퓨터 게임방 운영업,사당1동,126.98141478223499,37.4804767866961
덕자네방앗간,서울특별시 동작구 사당로16마길 29,생활서비스,세탁/가사서비스,방앗간/정미소,,사당4동,126.970654658379,37.4818522490521
지호인테리어,서울특별시 동작구 장승배기로13길 80,소매,가정/주방/인테리어,인테리어/욕실용품/커튼,그외 기타 분류안된 가정용품 소매업,노량진2동,126.938813081611,37.507547790475705
션샤인맨미용실,서울특별시 동작구 만양로 96-1,생활서비스,이/미용/건강,여성미용실,두발미용업,노량진1동,126.94447160034201,37.5121397702993
베라카채플뷰티샵,"서울특별시 동작구 노량진로 100, (노량진동)",생활서비스,이/미용/건강,여성미용실,두발미용업,노량진2동,126.93698324133999,37.5129556382663
인생고기,"서울특별시 동작구 동작대로7길 87, (사당동)",음식,한식,갈비/삼겹살,한식 음식점업,사당1동,126.978063695392,37.4774743690822
신대방부대찌개,"서울특별시 동작구 국사봉2길 22, (신대방동)",음식,한식,부대찌개/섞어찌개,한식 음식점업,신대방2동,126.928400964223,37.4977044571201
한잔집,"서울특별시 동작구 양녕로22가길 67, (상도동)",음식,유흥주점,호프/맥주,기타 주점업,상도4동,126.944042048424,37.4968631649099
카페블랑,"서울특별시 동작구 동작대로5길 13, (사당동)",음식,한식,한식/백반/한정식,한식 음식점업,사당1동,126.980609693139,37.4789831031347
호아빈,"서울특별시 동작구 동작대로 55, (사당동)",음식,별식/퓨전요리,동남아음식전문점,기타 외국식 음식점업,사당1동,126.98150442282801,37.4813696033579
간단하지만특별한화피디Cafe,"서울특별시 동작구 상도로 332, (상도동)",음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,상도1동,126.951268183249,37.4985043747093
진헤어,"서울특별시 동작구 상도로30길 14, (상도동)",생활서비스,이/미용/건강,여성미용실,두발미용업,상도2동,126.941521869708,37.504751816109795
퀴즈노스,"서울특별시 동작구 흑석로 19, (상도1동)",음식,패스트푸드,샌드위치전문점,"피자, 햄버거, 샌드위치 및 유사 음식점업",상도1동,126.95287302109101,37.5050602285822
포스코필공인중개사사무소,서울특별시 동작구 장승배기로10길 130,부동산,부동산중개,부동산중개,부동산 자문 및 중개업,상도2동,126.94477262257601,37.502005672171705
일진사,"서울특별시 동작구 등용로 67, (대방동, 미래스타빌)",생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,대방동,126.931985547856,37.507260992259205
치킨플러스,서울특별시 동작구 등용로 87,음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,대방동,126.93197028578399,37.509126020862496
눈부심어웨이즈,"서울특별시 동작구 사당로2차길 43, (사당동)",음식,제과제빵떡케익,제과점,제과점업,사당5동,126.96661820459299,37.4867728035302
황금김밥,"서울특별시 동작구 신대방2길 13, (신대방동)",음식,분식,라면김밥분식,분식 및 김밥 전문점,신대방1동,126.913090923415,37.488166655608396
속초명가,"서울특별시 동작구 사당로30길 56, (사당동)",음식,한식,한식/백반/한정식,한식 음식점업,사당1동,126.98076765987699,37.4823363883796
